ano,data,descricao,dia_da_semana
2029,2029-03-30,Paixão de Cristo,sexta-feira
2029,2029-04-21,Tiradentes,sábado
2029,2029-05-01,Dia do Trabalho,terça-feira
2029,2029-05-31,Corpus Christi,quinta-feira
2029,2029-09-07,Independência do Brasil,sexta-feira
2029,2029-11-02,Finados,sexta-feira
2029,2029-11-15,Proclamação da República,quinta-feira
2029,2029-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2029,2029-12-25,Natal,terça-feira
2030,2030-01-01,Confraternização Universal,terça-feira
2030,2030-03-04,Carnaval,segunda-feira
2030,2030-03-05,Carnaval,terça-feira
2030,2030-04-19,Paixão de Cristo,sexta-feira
2030,2030-04-21,Tiradentes,domingo
2030,2030-05-01,Dia do Trabalho,quarta-feira
2030,2030-06-20,Corpus Christi,quinta-feira
2030,2030-09-07,Independência do Brasil,sábado
2030,2030-11-02,Finados,sábado
2030,2030-11-15,Proclamação da República,sexta-feira
2030,2030-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2030,2030-12-25,Natal,quarta-feira
2031,2031-01-01,Confraternização Universal,quarta-feira
2031,2031-02-24,Carnaval,segunda-feira
2031,2031-02-25,Carnaval,terça-feira
2031,2031-04-11,Paixão de Cristo,sexta-feira
2031,2031-04-21,Tiradentes,segunda-feira
2031,2031-05-01,Dia do Trabalho,quinta-feira
2031,2031-06-12,Corpus Christi,quinta-feira
2031,2031-09-07,Independência do Brasil,domingo
2031,2031-11-02,Finados,domingo
2031,2031-11-15,Proclamação da República,sábado
2031,2031-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2031,2031-12-25,Natal,quinta-feira
2032,2032-01-01,Confraternização Universal,quinta-feira
2032,2032-02-09,Carnaval,segunda-feira
2032,2032-02-10,Carnaval,terça-feira
2032,2032-03-26,Paixão de Cristo,sexta-feira
2032,2032-04-21,Tiradentes,quarta-feira
2032,2032-05-01,Dia do Trabalho,sábado
2032,2032-05-27,Corpus Christi,quinta-feira
2032,2032-09-07,Independência do Brasil,terça-feira
2032,2032-11-02,Finados,terça-feira
2032,2032-11-15,Proclamação da República,segunda-feira
2032,2032-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2032,2032-12-25,Natal,sábado
2033,2033-01-01,Confraternização Universal,sábado
2033,2033-02-28,Carnaval,segunda-feira
2033,2033-03-01,Carnaval,terça-feira
2033,2033-04-15,Paixão de Cristo,sexta-feira
2033,2033-04-21,Tiradentes,quinta-feira
2033,2033-05-01,Dia do Trabalho,domingo
2033,2033-06-16,Corpus Christi,quinta-feira
2033,2033-09-07,Independência do Brasil,quarta-feira
2033,2033-11-02,Finados,quarta-feira
2033,2033-11-15,Proclamação da República,terça-feira
2033,2033-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2033,2033-12-25,Natal,domingo
2034,2034-01-01,Confraternização Universal,domingo
2034,2034-02-20,Carnaval,segunda-feira
2034,2034-02-21,Carnaval,terça-feira
2034,2034-04-07,Paixão de Cristo,sexta-feira
2034,2034-04-21,Tiradentes,sexta-feira
2034,2034-05-01,Dia do Trabalho,segunda-feira
2034,2034-06-08,Corpus Christi,quinta-feira
2034,2034-09-07,Independência do Brasil,quinta-feira
2034,2034-11-02,Finados,quinta-feira
2034,2034-11-15,Proclamação da República,quarta-feira
2034,2034-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2034,2034-12-25,Natal,segunda-feira
2035,2035-01-01,Confraternização Universal,segunda-feira
2035,2035-02-05,Carnaval,segunda-feira
2035,2035-02-06,Carnaval,terça-feira
2035,2035-03-23,Paixão de Cristo,sexta-feira
2035,2035-04-21,Tiradentes,sábado
2035,2035-05-01,Dia do Trabalho,terça-feira
2035,2035-05-24,Corpus Christi,quinta-feira
2035,2035-09-07,Independência do Brasil,sexta-feira
2035,2035-11-02,Finados,sexta-feira
2035,2035-11-15,Proclamação da República,quinta-feira
2035,2035-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2035,2035-12-25,Natal,terça-feira
2036,2036-01-01,Confraternização Universal,terça-feira
2036,2036-02-25,Carnaval,segunda-feira
2036,2036-02-26,Carnaval,terça-feira
2036,2036-04-11,Paixão de Cristo,sexta-feira
2036,2036-04-21,Tiradentes,segunda-feira
2036,2036-05-01,Dia do Trabalho,quinta-feira
2036,2036-06-12,Corpus Christi,quinta-feira
2036,2036-09-07,Independência do Brasil,domingo
2036,2036-11-02,Finados,domingo
2036,2036-11-15,Proclamação da República,sábado
2036,2036-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2036,2036-12-25,Natal,quinta-feira
2037,2037-01-01,Confraternização Universal,quinta-feira
2037,2037-02-16,Carnaval,segunda-feira
2037,2037-02-17,Carnaval,terça-feira
2037,2037-04-03,Paixão de Cristo,sexta-feira
2037,2037-04-21,Tiradentes,terça-feira
2037,2037-05-01,Dia do Trabalho,sexta-feira
2037,2037-06-04,Corpus Christi,quinta-feira
2037,2037-09-07,Independência do Brasil,segunda-feira
2037,2037-11-02,Finados,segunda-feira
2037,2037-11-15,Proclamação da República,domingo
2037,2037-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2037,2037-12-25,Natal,sexta-feira
2038,2038-01-01,Confraternização Universal,sexta-feira
2038,2038-03-08,Carnaval,segunda-feira
2038,2038-03-09,Carnaval,terça-feira
2038,2038-04-21,Tiradentes,quarta-feira
2038,2038-04-23,Paixão de Cristo,sexta-feira
2038,2038-05-01,Dia do Trabalho,sábado
2038,2038-06-24,Corpus Christi,quinta-feira
2038,2038-09-07,Independência do Brasil,terça-feira
2038,2038-11-02,Finados,terça-feira
2038,2038-11-15,Proclamação da República,segunda-feira
2038,2038-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2038,2038-12-25,Natal,sábado
2039,2039-01-01,Confraternização Universal,sábado
2039,2039-02-21,Carnaval,segunda-feira
2039,2039-02-22,Carnaval,terça-feira
2039,2039-04-08,Paixão de Cristo,sexta-feira
2039,2039-04-21,Tiradentes,quinta-feira
2039,2039-05-01,Dia do Trabalho,domingo
2039,2039-06-09,Corpus Christi,quinta-feira
2039,2039-09-07,Independência do Brasil,quarta-feira
2039,2039-11-02,Finados,quarta-feira
2039,2039-11-15,Proclamação da República,terça-feira
2039,2039-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2039,2039-12-25,Natal,domingo
2040,2040-01-01,Confraternização Universal,domingo
2040,2040-02-13,Carnaval,segunda-feira
2040,2040-02-14,Carnaval,terça-feira
2040,2040-03-30,Paixão de Cristo,sexta-feira
2040,2040-04-21,Tiradentes,sábado
2040,2040-05-01,Dia do Trabalho,terça-feira
2040,2040-05-31,Corpus Christi,quinta-feira
2040,2040-09-07,Independência do Brasil,sexta-feira
2040,2040-11-02,Finados,sexta-feira
2040,2040-11-15,Proclamação da República,quinta-feira
2040,2040-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2040,,Natal,terça-feira
2041,2041-01-01,Confraternização Universal,terça-feira
2041,2041-03-04,Carnaval,segunda-feira
2041,2041-03-05,Carnaval,terça-feira
2041,2041-04-19,Paixão de Cristo,sexta-feira
2041,2041-04-21,Tiradentes,domingo
2041,2041-05-01,Dia do Trabalho,quarta-feira
2041,2041-06-20,Corpus Christi,quinta-feira
2041,2041-09-07,Independência do Brasil,sábado
2041,2041-11-02,Finados,sábado
2041,2041-11-15,Proclamação da República,sexta-feira
2041,2041-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2041,2041-12-25,Natal,quarta-feira
2042,2042-01-01,Confraternização Universal,quarta-feira
2042,2042-02-17,Carnaval,segunda-feira
2042,2042-02-18,Carnaval,terça-feira
2042,2042-04-04,Paixão de Cristo,sexta-feira
2042,2042-04-21,Tiradentes,segunda-feira
2042,2042-05-01,Dia do Trabalho,quinta-feira
2042,2042-06-05,Corpus Christi,quinta-feira
2042,2042-09-07,Independência do Brasil,domingo
2042,2042-11-02,Finados,domingo
2042,2042-11-15,Proclamação da República,sábado
2042,2042-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2042,2042-12-25,Natal,quinta-feira
2043,2043-01-01,Confraternização Universal,quinta-feira
2043,2043-02-09,Carnaval,segunda-feira
2043,2043-02-10,Carnaval,terça-feira
2043,2043-03-27,Paixão de Cristo,sexta-feira
2043,2043-04-21,Tiradentes,terça-feira
2043,2043-05-01,Dia do Trabalho,sexta-feira
2043,2043-05-28,Corpus Christi,quinta-feira
2043,2043-09-07,Independência do Brasil,segunda-feira
2043,2043-11-02,Finados,segunda-feira
2043,2043-11-15,Proclamação da República,domingo
2043,2043-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
